=== census-derived p1=0 fallthrough streams (no VRAM dumps) ===
ROMDEC F=92280 stage=$06 slot=0 bank=$6C p1=$01 dst=$3ED0.w src=$90B5 words=0
ROMDEC F=105878 stage=$07 slot=0 bank=$5C p1=$02 dst=$2180.w src=$4B06 words=0
ROMDEC F=105878 stage=$07 slot=0 bank=$5C p1=$02 dst=$2200.w src=$4BC2 words=0
ROMDEC F=105879 stage=$07 slot=0 bank=$5C p1=$03 dst=$24C0.w src=$4B06 words=0
ROMDEC F=105880 stage=$07 slot=0 bank=$5C p1=$03 dst=$2540.w src=$4FE7 words=0
ROMDEC F=105880 stage=$07 slot=0 bank=$5C p1=$01 dst=$2560.w src=$4B06 words=0
ROMDEC F=105880 stage=$07 slot=0 bank=$5C p1=$01 dst=$25E0.w src=$501D words=0
ROMDEC F=105880 stage=$07 slot=0 bank=$34 p1=$01 dst=$2620.w src=$41ED words=0
ROMDEC F=1179 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$8EE9 words=0
ROMDEC F=1222 stage=$00 slot=0 bank=$40 p1=$00 dst=$7F80.w src=$4463 words=0
ROMDEC F=1639 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$8F8C words=0
ROMDEC F=1810 stage=$00 slot=0 bank=$48 p1=$00 dst=$7F80.w src=$4000 words=0
ROMDEC F=1947 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$4CD1 words=0
ROMDEC F=1951 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$4D59 words=0
ROMDEC F=1967 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$4DE6 words=0
ROMDEC F=2139 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$4C59 words=0
ROMDEC F=2172 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$4BE9 words=0
ROMDEC F=11550 stage=$01 slot=0 bank=$44 p1=$00 dst=$7600.w src=$8DD9 words=0
ROMDEC F=11553 stage=$01 slot=0 bank=$44 p1=$00 dst=$7780.w src=$8D04 words=0
ROMDEC F=11557 stage=$01 slot=0 bank=$44 p1=$00 dst=$75C0.w src=$8C1F words=0
ROMDEC F=11561 stage=$01 slot=0 bank=$44 p1=$00 dst=$7780.w src=$8B27 words=0
ROMDEC F=11565 stage=$01 slot=0 bank=$44 p1=$00 dst=$7600.w src=$8A00 words=0
ROMDEC F=12735 stage=$01 slot=0 bank=$64 p1=$00 dst=$7600.w src=$60FA words=0
ROMDEC F=12828 stage=$01 slot=0 bank=$64 p1=$00 dst=$7600.w src=$62A5 words=0
ROMDEC F=12871 stage=$01 slot=0 bank=$64 p1=$00 dst=$7600.w src=$5F6B words=0
ROMDEC F=13012 stage=$01 slot=0 bank=$64 p1=$00 dst=$7600.w src=$646A words=0
ROMDEC F=13098 stage=$01 slot=0 bank=$64 p1=$00 dst=$7600.w src=$5E02 words=0
ROMDEC F=1244 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$AE22 words=0
ROMDEC F=1260 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$AEB4 words=0
ROMDEC F=1314 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$AD0F words=0
ROMDEC F=1330 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$AC74 words=0
ROMDEC F=3917 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$6C2C words=0
ROMDEC F=3926 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$709B words=0
ROMDEC F=3968 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$6A93 words=0
ROMDEC F=4014 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$6DAA words=0
ROMDEC F=4031 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$6F18 words=0
ROMDEC F=4406 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$68D5 words=0
ROMDEC F=8144 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$AFD0 words=0
ROMDEC F=8151 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$B073 words=0
ROMDEC F=8157 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$B120 words=0
ROMDEC F=12587 stage=$01 slot=0 bank=$44 p1=$00 dst=$75C0.w src=$9E79 words=0
ROMDEC F=120 stage=$01 slot=0 bank=$44 p1=$00 dst=$7600.w src=$A646 words=0
ROMDEC F=4348 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$9038 words=0
ROMDEC F=4354 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$9112 words=0
ROMDEC F=4360 stage=$00 slot=0 bank=$44 p1=$00 dst=$7F80.w src=$915F words=0
ROMDEC F=7045 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$5259 words=0
ROMDEC F=7176 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$4F02 words=0
ROMDEC F=7193 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$4D63 words=0
ROMDEC F=7349 stage=$00 slot=0 bank=$64 p1=$00 dst=$7600.w src=$5438 words=0
